Handle,Rating
weirdflexbutok,2189
goats_9,2124
hemanth6,2045
RandomBee,2012
SaltyDonut,1990
TheMarioFan102,1950
envariant,1936
Taha_adeel,1854
rahulmysuru7,1825
Siddarth_MSR,1792
chaitanyan,1732
vbsinha,1715
Shubham-V,1707
code_kaustubh,1653
mehul1512,1627
slowzone,1626
Tuhil,1615
Mr.Doap,1609
msvardhan19,1607
Karthik_Kotikalapudi,1543
Ahmik_Virani,1538
aneee,1537
mahesh_2002,1521
GauthamB,1520
ZeoDraxyl,1517
Saideepaksana,1491
siddharth_yd,1475
saran09,1473
Angad_11121,1471
naruto__18,1465
Ryuksban,1448
Titan493ASST,1440
froste09,1438
srikaran_p,1436
free989898,1436
Garvit_Khedar,1420
sujalmeshram,1412
HyperBoolean,1411
Roshan18,1392
gaman_gandi,1384
i-AM-DEVIL,1377
gopalvarun03,1367
Aaryan.Kaushik,1364
dhawal9z,1353
AceofSpades_06,1349
anshikag020,1332
muqeeth26832,1330
tonystark3265,1300
Ashwin-040,1294
lakshya-001,1287
Ahmik,1283
koushikgunnam,1279
Kirito87,1270
Sahil-IITH,1256
Geto,1229
executioner_01,1227
AnSaki57,1224
AbstractAxiom,1220
GOAT__,1207
sriman_216,1194
abhikr645,1186
skewGun,1179
ee21btech11004,1177
bigger_jigger,1171
Varshith127,1160
ic23btech11023,1157
aegon777,1155
Vardan_03,1145
abhinavv173,1141
AnshV,1141
atigdng,1111
Toneshwar,1108
Iterative_Idiot110607,1104
AYUSHMAAN_1812,1103
ash1607,1096
Vindhya0312,1076
thanos_03,1074
GOAT7,1072
dEaDpRo,1066
ce21btech11031,1064
Garvit__Maheshwari,1055
mogo9,1052
Amol_Bhere,1049
UI-Shashank,1042
BILLY_49,1032
Harshith2410,1025
ishwa441,1021
AryanCodesWell,1013
girish_thatte,1011
rootc_jc,1009
chinmay_ingle,992
KSaravanan07,982
amoghbindal,972
joyfulprogrammer,971
grishma5472,954
Darling_siddu_06,953
anuu_14,944
charan_asc,939
emotional_emf,936
Shri_JSL,934
chandra3000,925
shivrm,914
Darkai99,914
biskybites,901
saranshyadav,884
sagar-balot,876
bhanuponguru,851
PrajwalR,843
arifkp1411,839
pure_crux,832
Cypher_04,813
harshilg0yal,742
insane-insaan,688
FranXenoz,684
ivishalpatidar,587
walmartbatman,458
anusha_k,401
rohan216_,346
